dataset,algo,time_budget,c_budget,ens_size,beta,tau,runtime,true_ens_size,doublefault,doublefault_norm,yules_q,yules_q_norm,correlation,correlation_norm,disagreement,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy,balanced_accuracy
40926,bo_div,600,3600,25,0.025,0.2,4442.648111587,5,0.5295500000000001,0.47045000000000003,0.48851285612489637,0.2557435719375518,0.24414415590962185,0.3779279220451891,0.33479999999999993,0.46925088878757065,0.838059284093225,0.838077521149714,0.4765,0.4767485002950922
40978,bo_div,600,3600,25,0.025,0.2,3728.707731877,10,0.01138211382113822,0.9886178861788617,0.7044312570500989,0.14778437147495058,0.32307499259630096,0.3384625037018495,0.09156504065040652,0.9714240078990547,0.9692799876657415,0.9692799876657415,0.9862804878048781,0.9692799876657416
40978,bo_div,600,3600,25,0.025,0.2,4027.357964772,19,0.02059264013692769,0.9794073598630731,0.9167773478547386,0.04161132607263051,0.3877261435394014,0.30613692823029953,0.06455926401369279,0.9740007530269703,0.9610699969164354,0.9610699969164354,0.9878048780487805,0.9610699969164354
40978,bo_div,600,3600,25,0.025,0.2,3611.210088697,4,0.15320121951219512,0.8467987804878048,-0.11149257873084338,0.5557462893654218,0.1032871847898914,0.4483564076050543,0.5640243902439025,0.9133914547813617,0.9379047178538391,0.9379047178538391,0.9557926829268293,0.937904717853839
40978,bo_div,600,3600,25,0.025,0.2,3640.949261469,15,0.04172473867595821,0.9582752613240418,0.7576944077110267,0.12115279614448667,0.4135831382008072,0.2932084308995965,0.1254936120789779,0.9610011295404554,0.9484273820536541,0.9484273820536541,0.9817073170731707,0.948427382053654
40978,bo_div,600,3600,25,0.025,0.2,3709.914743315,6,0.016361788617886182,0.9836382113821137,0.9637987897083498,0.01810060514582503,0.4947829744383928,0.25260851278080365,0.05772357723577235,0.9583412713532735,0.9520891150169597,0.9520891150169597,0.9801829268292683,0.9520891150169596
40981,bo_div,600,3600,25,0.025,0.2,3621.050790423,16,0.19969806763285025,0.8003019323671497,0.4626184950683214,0.26869075246583934,0.28529926278955187,0.357350368605224,0.346074879227053,0.8315205327413985,0.8247817756014476,0.8247817756014476,0.8405797101449275,0.8247817756014477
40981,bo_div,600,3600,25,0.025,0.2,3614.817252056,12,0.14888010540184451,0.8511198945981556,0.5769927025584838,0.21150364872075827,0.30865940753391935,0.34567029623304035,0.3218050065876152,0.8063864414389136,0.8001916116670216,0.8001916116670216,0.8188405797101449,0.8001916116670216
40981,bo_div,600,3600,25,0.025,0.2,3614.741435422,22,0.12403538490495024,0.8759646150950524,0.6319045413218641,0.18404772933906777,0.35112473688774093,0.32443763155612937,0.2776209297948429,0.8148479427549195,0.8083883329784969,0.8083883329784969,0.8260869565217391,0.8083883329784969
40981,bo_div,600,3600,25,0.025,0.2,3616.634651743,19,0.13831680650902622,0.8616831934909743,0.5070471430300617,0.24647642848496895,0.2799775882605959,0.36001120586970203,0.3244342740910246,0.8457066189624329,0.8377687885884607,0.8377687885884607,0.855072463768116,0.8377687885884607
40981,bo_div,600,3600,25,0.025,0.2,3606.658794326,22,0.1511700859526948,0.8488299140473076,0.5384721404763979,0.230763929761801,0.2967921382155987,0.3516039308922007,0.310966810966811,0.8478835978835979,0.8411752182243986,0.8411752182243986,0.855072463768116,0.8411752182243986
